"","ind","ref","param","RSF_estimate"
"Prey_predicted89","Fish72","Ref","Prey_predicted",1.32897123631949
"Prey_predicted90","Fish72","Ref","Prey_predicted",1.14982927141159
"Prey_predicted91","Fish72","Ref","Prey_predicted",-0.273568684929751
"Prey_predicted92","Fish72","Ref","Prey_predicted",0.0764457138649323
"Prey_predicted93","Fish72","Ref","Prey_predicted",0.182106732249989
"Prey_predicted94","Fish72","Ref","Prey_predicted",0.380741679377716
"Prey_predicted95","Fish72","Ref","Prey_predicted",0.309215763879733
"Prey_predicted96","Fish72","Ref","Prey_predicted",2.32209692723384
"Prey_predicted97","Fish72","Ref","Prey_predicted",1.75709399357891
"Prey_predicted98","Fish72","Ref","Prey_predicted",1.06287618501687
"Prey_predicted99","Fish72","Ref","Prey_predicted",0.701313152361699
"Prey_predicted100","Fish72","Ref","Prey_predicted",1.23321330109966
"Prey_predicted101","Fish72","Ref","Prey_predicted",-0.999670485238275
"Prey_predicted102","Fish72","Ref","Prey_predicted",-0.0573674618328976
"Prey_predicted103","Fish72","Ref","Prey_predicted",-0.156124321986901
"Prey_predicted104","Fish72","Ref","Prey_predicted",-0.302373383938039
"Prey_predicted105","Fish72","Ref","Prey_predicted",3.33569871302154
"Prey_predicted106","Fish72","Ref","Prey_predicted",-2.43523598876398
"Prey_predicted107","Fish72","Ref","Prey_predicted",2.01902958583631
"Prey_predicted108","Fish72","Ref","Prey_predicted",1.37085574068073
"Prey_predicted109","Fish72","Ref","Prey_predicted",0.273219309312841
"Prey_predicted110","Fish72","Ref","Prey_predicted",1.66338133738978
"Prey_predicted111","Fish72","Ref","Prey_predicted",1.37658526334645
"Prey_predicted112","Fish72","Ref","Prey_predicted",-0.926403027789732
"Prey_predicted113","Fish72","Ref","Prey_predicted",-0.204648082548942
"Prey_predicted114","Fish72","Ref","Prey_predicted",-0.341900296581525
"Prey_predicted115","Fish72","Ref","Prey_predicted",-1.65191097703804
"Prey_predicted116","Fish72","Ref","Prey_predicted",1.08205972402291
"Prey_predicted117","Fish72","Ref","Prey_predicted",-1.36060205304862
"Prey_predicted118","Fish72","Ref","Prey_predicted",-0.583935374035332
"Prey_predicted119","Fish72","Ref","Prey_predicted",-0.64153198874463
"Prey_predicted120","Fish72","Ref","Prey_predicted",0.855740054676435
"Prey_predicted121","Fish72","Ref","Prey_predicted",1.04823826670548
"Prey_predicted122","Fish72","Ref","Prey_predicted",-0.876424250980198
"Prey_predicted123","Fish72","Ref","Prey_predicted",0.778153496871509
"Prey_predicted124","Fish72","Ref","Prey_predicted",-1.31563895643872
"Prey_predicted125","Fish72","Ref","Prey_predicted",1.75341355166613
"Prey_predicted126","Fish72","Ref","Prey_predicted",1.84479149885436
"Prey_predicted127","Fish72","Ref","Prey_predicted",0.25715247691763
"Prey_predicted128","Fish72","Ref","Prey_predicted",-0.556593086533621
"Prey_predicted129","Fish72","Ref","Prey_predicted",1.49135067569891
"Prey_predicted130","Fish72","Ref","Prey_predicted",1.46798322236553
"Prey_predicted131","Fish72","Ref","Prey_predicted",0.700207999589678
"Prey_predicted132","Fish72","Ref","Prey_predicted",0.638265032818289
"Prey_predicted133","Fish72","Ref","Prey_predicted",-1.08237639608179
"Prey_predicted134","Fish72","Ref","Prey_predicted",1.52927351233805
"Prey_predicted135","Fish72","Ref","Prey_predicted",-0.581991541076175
"Prey_predicted136","Fish72","Ref","Prey_predicted",-0.840192985964198
"Prey_predicted137","Fish72","Ref","Prey_predicted",-1.28955782088064
"Prey_predicted138","Fish72","Ref","Prey_predicted",0.328478464773981
"Prey_predicted139","Fish72","Ref","Prey_predicted",1.32846123976346
"Prey_predicted140","Fish72","Ref","Prey_predicted",-0.102679937725416
"Prey_predicted141","Fish72","Ref","Prey_predicted",-1.76223543676083
"Prey_predicted142","Fish72","Ref","Prey_predicted",-1.25859273840053
"Prey_predicted143","Fish72","Ref","Prey_predicted",1.89276247484805
"Prey_predicted144","Fish72","Ref","Prey_predicted",-1.59433747186751
"Prey_predicted145","Fish72","Ref","Prey_predicted",-1.02286241380414
"Prey_predicted146","Fish72","Ref","Prey_predicted",1.5650232238361
"Prey_predicted147","Fish72","Ref","Prey_predicted",-0.174323757453901
"Prey_predicted148","Fish72","Ref","Prey_predicted",-1.03366291710935
"Prey_predicted149","Fish72","Ref","Prey_predicted",-0.614192526060811
"Prey_predicted150","Fish72","Ref","Prey_predicted",0.739001311599175
"Prey_predicted151","Fish72","Ref","Prey_predicted",-0.108443154101032
"Prey_predicted152","Fish72","Ref","Prey_predicted",0.0950960370635244
"Prey_predicted153","Fish72","Ref","Prey_predicted",1.23942122628033
"Prey_predicted154","Fish72","Ref","Prey_predicted",-0.14040645225325
"Prey_predicted155","Fish72","Ref","Prey_predicted",-0.466913515092708
"Prey_predicted156","Fish72","Ref","Prey_predicted",1.16338961906003
"Prey_predicted157","Fish72","Ref","Prey_predicted",-1.14548977483231
"Prey_predicted158","Fish72","Ref","Prey_predicted",1.94170513641741
"Prey_predicted159","Fish72","Ref","Prey_predicted",0.790137969139789
"Prey_predicted160","Fish72","Ref","Prey_predicted",0.572824690838737
"Prey_predicted161","Fish72","Ref","Prey_predicted",-1.39068528709646
"Prey_predicted162","Fish72","Ref","Prey_predicted",1.00043169985864
"Prey_predicted163","Fish72","Ref","Prey_predicted",-1.85551865789639
"Prey_predicted164","Fish72","Ref","Prey_predicted",-0.580114787260258
"Prey_predicted165","Fish72","Ref","Prey_predicted",1.31665170841266
"Prey_predicted166","Fish72","Ref","Prey_predicted",-0.31945266524699
"Prey_predicted167","Fish72","Ref","Prey_predicted",0.88556767499872
"Prey_predicted168","Fish72","Ref","Prey_predicted",-0.61423060139955
