"","ind","ref","param","coeff","N_random_tracks"
"Prey_predicted","Fish72","Ref","Large zooplankton",3.65396308220671,1
"NotPrey_predicted","Fish72","Ref","Small zooplankton",-4.3296458186502,1
"ecart_6","Fish72","Ref","Dist to Iso6",-3.39063594139016,1
"Dist_fond","Fish72","Ref","Dist to bottom",0.621180613507928,1
"Dist_berge","Fish72","Ref","Dist to shore",-1.40222073487769,1
"Prey_predicted1","Fish72","Ref","Large zooplankton",1.52603103589501,1
"NotPrey_predicted1","Fish72","Ref","Small zooplankton",-1.85390375085751,1
"ecart_61","Fish72","Ref","Dist to Iso6",-4.62002892143806,1
"Dist_fond1","Fish72","Ref","Dist to bottom",-2.75120407768611,1
"Dist_berge1","Fish72","Ref","Dist to shore",-1.04469301982521,1
"Prey_predicted2","Fish72","Ref","Large zooplankton",1.80845939730774,1
"NotPrey_predicted2","Fish72","Ref","Small zooplankton",-1.94686988732275,1
"ecart_62","Fish72","Ref","Dist to Iso6",-2.4839931897827,1
"Dist_fond2","Fish72","Ref","Dist to bottom",-2.95952461238122,1
"Dist_berge2","Fish72","Ref","Dist to shore",-0.196220377514069,1
"Prey_predicted3","Fish72","Ref","Large zooplankton",5.71310307721286,1
"NotPrey_predicted3","Fish72","Ref","Small zooplankton",-4.83435313317165,1
"ecart_63","Fish72","Ref","Dist to Iso6",9.0226192830315,1
"Dist_fond3","Fish72","Ref","Dist to bottom",-21.1266631113492,1
"Dist_berge3","Fish72","Ref","Dist to shore",-2.42630202554268,1
"Prey_predicted4","Fish72","Ref","Large zooplankton",2.0557619885225,1
"NotPrey_predicted4","Fish72","Ref","Small zooplankton",-2.42648273198203,1
"ecart_64","Fish72","Ref","Dist to Iso6",-2.02928403079942,1
"Dist_fond4","Fish72","Ref","Dist to bottom",-1.6365397404938,1
"Dist_berge4","Fish72","Ref","Dist to shore",-0.42971581840344,1
"Prey_predicted5","Fish72","Ref","Large zooplankton",1.79392800249535,1
"NotPrey_predicted5","Fish72","Ref","Small zooplankton",-1.97924497184739,1
"ecart_65","Fish72","Ref","Dist to Iso6",-3.00502341674306,1
"Dist_fond5","Fish72","Ref","Dist to bottom",-0.27331093669231,1
"Dist_berge5","Fish72","Ref","Dist to shore",-0.136406953972843,1
"Prey_predicted6","Fish72","Ref","Large zooplankton",1.87184085786411,1
"NotPrey_predicted6","Fish72","Ref","Small zooplankton",-1.869411407963,1
"ecart_66","Fish72","Ref","Dist to Iso6",-2.47298124408634,1
"Dist_fond6","Fish72","Ref","Dist to bottom",-2.673338969793,1
"Dist_berge6","Fish72","Ref","Dist to shore",-0.127177822398506,1
"Prey_predicted7","Fish72","Ref","Large zooplankton",0.0116940884926338,1
"NotPrey_predicted7","Fish72","Ref","Small zooplankton",-0.590642709174102,1
"ecart_67","Fish72","Ref","Dist to Iso6",-3.03640875759413,1
"Dist_fond7","Fish72","Ref","Dist to bottom",-0.0845859520228703,1
"Dist_berge7","Fish72","Ref","Dist to shore",-1.95449881226401,1
"Prey_predicted8","Fish72","Ref","Large zooplankton",1.49644639440978,1
"NotPrey_predicted8","Fish72","Ref","Small zooplankton",-2.01231927311467,1
"ecart_68","Fish72","Ref","Dist to Iso6",-0.549057518082102,1
"Dist_fond8","Fish72","Ref","Dist to bottom",0.83307214510438,1
"Dist_berge8","Fish72","Ref","Dist to shore",-0.434578931286377,1
"Prey_predicted9","Fish72","Ref","Large zooplankton",3.14501234103335,1
"NotPrey_predicted9","Fish72","Ref","Small zooplankton",-2.92338522429453,1
"ecart_69","Fish72","Ref","Dist to Iso6",-3.12846882147646,1
"Dist_fond9","Fish72","Ref","Dist to bottom",-3.27551138308701,1
"Dist_berge9","Fish72","Ref","Dist to shore",0.470262140372193,1
"Prey_predicted10","Fish72","Ref","Large zooplankton",3.60383105133201,2
"NotPrey_predicted10","Fish72","Ref","Small zooplankton",-3.51528083790123,2
"ecart_610","Fish72","Ref","Dist to Iso6",-2.49869380523691,2
"Dist_fond10","Fish72","Ref","Dist to bottom",-1.65818572972066,2
"Dist_berge10","Fish72","Ref","Dist to shore",-0.172169499989742,2
"Prey_predicted11","Fish72","Ref","Large zooplankton",2.54901063171646,2
"NotPrey_predicted11","Fish72","Ref","Small zooplankton",-2.55428823708062,2
"ecart_611","Fish72","Ref","Dist to Iso6",-2.04384035227833,2
"Dist_fond11","Fish72","Ref","Dist to bottom",-2.21988917431286,2
"Dist_berge11","Fish72","Ref","Dist to shore",-0.800997542632092,2
"Prey_predicted12","Fish72","Ref","Large zooplankton",7.13175902940074,2
"NotPrey_predicted12","Fish72","Ref","Small zooplankton",-6.7412254566521,2
"ecart_612","Fish72","Ref","Dist to Iso6",-3.42965410053684,2
"Dist_fond12","Fish72","Ref","Dist to bottom",-6.60312884392187,2
"Dist_berge12","Fish72","Ref","Dist to shore",0.947794472700279,2
"Prey_predicted13","Fish72","Ref","Large zooplankton",4.15653731128702,2
"NotPrey_predicted13","Fish72","Ref","Small zooplankton",-4.60307691561367,2
"ecart_613","Fish72","Ref","Dist to Iso6",-1.13202234041226,2
"Dist_fond13","Fish72","Ref","Dist to bottom",-2.57568494351325,2
"Dist_berge13","Fish72","Ref","Dist to shore",-0.159430531967131,2
"Prey_predicted14","Fish72","Ref","Large zooplankton",0.73347368122914,2
"NotPrey_predicted14","Fish72","Ref","Small zooplankton",-1.02073916663069,2
"ecart_614","Fish72","Ref","Dist to Iso6",-2.3613759957465,2
"Dist_fond14","Fish72","Ref","Dist to bottom",-0.964463809746633,2
"Dist_berge14","Fish72","Ref","Dist to shore",-0.184735684753727,2
"Prey_predicted15","Fish72","Ref","Large zooplankton",2.59900868959707,2
"NotPrey_predicted15","Fish72","Ref","Small zooplankton",-3.00970141123379,2
"ecart_615","Fish72","Ref","Dist to Iso6",-3.15465621417637,2
"Dist_fond15","Fish72","Ref","Dist to bottom",-2.00512216825796,2
"Dist_berge15","Fish72","Ref","Dist to shore",0.093118122968192,2
"Prey_predicted16","Fish72","Ref","Large zooplankton",3.00337339008369,2
"NotPrey_predicted16","Fish72","Ref","Small zooplankton",-2.83159683929117,2
"ecart_616","Fish72","Ref","Dist to Iso6",-3.4362484303707,2
"Dist_fond16","Fish72","Ref","Dist to bottom",-2.63235019676943,2
"Dist_berge16","Fish72","Ref","Dist to shore",0.215961566895526,2
"Prey_predicted17","Fish72","Ref","Large zooplankton",3.48025797479617,2
"NotPrey_predicted17","Fish72","Ref","Small zooplankton",-3.84101032614556,2
"ecart_617","Fish72","Ref","Dist to Iso6",-3.73434920518709,2
"Dist_fond17","Fish72","Ref","Dist to bottom",-0.561941294520352,2
"Dist_berge17","Fish72","Ref","Dist to shore",-0.478086366636901,2
"Prey_predicted18","Fish72","Ref","Large zooplankton",2.64023058232282,2
"NotPrey_predicted18","Fish72","Ref","Small zooplankton",-2.68055872874881,2
"ecart_618","Fish72","Ref","Dist to Iso6",-2.64135913077635,2
"Dist_fond18","Fish72","Ref","Dist to bottom",-1.85452516448468,2
"Dist_berge18","Fish72","Ref","Dist to shore",-0.351648896392579,2
"Prey_predicted19","Fish72","Ref","Large zooplankton",5.60600484330835,2
"NotPrey_predicted19","Fish72","Ref","Small zooplankton",-5.33858141897572,2
"ecart_619","Fish72","Ref","Dist to Iso6",-3.73069033336928,2
"Dist_fond19","Fish72","Ref","Dist to bottom",-3.02261007484658,2
"Dist_berge19","Fish72","Ref","Dist to shore",0.482916123445904,2
"Prey_predicted20","Fish72","Ref","Large zooplankton",2.75855579262168,3
"NotPrey_predicted20","Fish72","Ref","Small zooplankton",-2.87433122836896,3
"ecart_620","Fish72","Ref","Dist to Iso6",-2.19452651739526,3
"Dist_fond20","Fish72","Ref","Dist to bottom",-1.99306834039725,3
"Dist_berge20","Fish72","Ref","Dist to shore",-0.0754360327885495,3
"Prey_predicted21","Fish72","Ref","Large zooplankton",3.42060799174987,3
"NotPrey_predicted21","Fish72","Ref","Small zooplankton",-3.43478795153192,3
"ecart_621","Fish72","Ref","Dist to Iso6",-1.23797611838403,3
"Dist_fond21","Fish72","Ref","Dist to bottom",-4.108726211984,3
"Dist_berge21","Fish72","Ref","Dist to shore",-0.33466965371291,3
"Prey_predicted22","Fish72","Ref","Large zooplankton",2.81825185620577,3
"NotPrey_predicted22","Fish72","Ref","Small zooplankton",-3.03530108442398,3
"ecart_622","Fish72","Ref","Dist to Iso6",-3.13816324884645,3
"Dist_fond22","Fish72","Ref","Dist to bottom",-1.38815077557552,3
"Dist_berge22","Fish72","Ref","Dist to shore",-0.266024519418492,3
"Prey_predicted23","Fish72","Ref","Large zooplankton",4.83584077425954,3
"NotPrey_predicted23","Fish72","Ref","Small zooplankton",-4.68305360313281,3
"ecart_623","Fish72","Ref","Dist to Iso6",-1.03855800962364,3
"Dist_fond23","Fish72","Ref","Dist to bottom",-4.59948728386998,3
"Dist_berge23","Fish72","Ref","Dist to shore",-0.350013829898566,3
"Prey_predicted24","Fish72","Ref","Large zooplankton",6.38347304772106,3
"NotPrey_predicted24","Fish72","Ref","Small zooplankton",-6.52843844657936,3
"ecart_624","Fish72","Ref","Dist to Iso6",-2.40502068210313,3
"Dist_fond24","Fish72","Ref","Dist to bottom",-2.68635165967018,3
"Dist_berge24","Fish72","Ref","Dist to shore",-0.667691124151384,3
"Prey_predicted25","Fish72","Ref","Large zooplankton",3.051030606352,3
"NotPrey_predicted25","Fish72","Ref","Small zooplankton",-3.46181891528292,3
"ecart_625","Fish72","Ref","Dist to Iso6",-2.82907051120403,3
"Dist_fond25","Fish72","Ref","Dist to bottom",-0.835872800250391,3
"Dist_berge25","Fish72","Ref","Dist to shore",-0.740564699257661,3
"Prey_predicted26","Fish72","Ref","Large zooplankton",3.08183252652222,3
"NotPrey_predicted26","Fish72","Ref","Small zooplankton",-2.89530720993837,3
"ecart_626","Fish72","Ref","Dist to Iso6",-2.50797023359953,3
"Dist_fond26","Fish72","Ref","Dist to bottom",-2.89090796564165,3
"Dist_berge26","Fish72","Ref","Dist to shore",0.0490376418885018,3
"Prey_predicted27","Fish72","Ref","Large zooplankton",3.0455970366882,3
"NotPrey_predicted27","Fish72","Ref","Small zooplankton",-2.73899936039326,3
"ecart_627","Fish72","Ref","Dist to Iso6",-1.12701108395262,3
"Dist_fond27","Fish72","Ref","Dist to bottom",-3.9391623871147,3
"Dist_berge27","Fish72","Ref","Dist to shore",0.303767808359582,3
"Prey_predicted28","Fish72","Ref","Large zooplankton",4.36422437280174,3
"NotPrey_predicted28","Fish72","Ref","Small zooplankton",-4.43872758132531,3
"ecart_628","Fish72","Ref","Dist to Iso6",-1.86450270978075,3
"Dist_fond28","Fish72","Ref","Dist to bottom",-1.9077589278021,3
"Dist_berge28","Fish72","Ref","Dist to shore",-0.251676464709349,3
"Prey_predicted29","Fish72","Ref","Large zooplankton",5.22770665515263,3
"NotPrey_predicted29","Fish72","Ref","Small zooplankton",-5.31586407254258,3
"ecart_629","Fish72","Ref","Dist to Iso6",-3.91744984847823,3
"Dist_fond29","Fish72","Ref","Dist to bottom",-3.77741329957259,3
"Dist_berge29","Fish72","Ref","Dist to shore",0.157714219473043,3
"Prey_predicted30","Fish72","Ref","Large zooplankton",2.49405674038546,4
"NotPrey_predicted30","Fish72","Ref","Small zooplankton",-2.72021352592474,4
"ecart_630","Fish72","Ref","Dist to Iso6",-2.43133718808198,4
"Dist_fond30","Fish72","Ref","Dist to bottom",-1.51221973060182,4
"Dist_berge30","Fish72","Ref","Dist to shore",-0.488300267588362,4
"Prey_predicted31","Fish72","Ref","Large zooplankton",2.9619666985049,4
"NotPrey_predicted31","Fish72","Ref","Small zooplankton",-3.14844817223696,4
"ecart_631","Fish72","Ref","Dist to Iso6",-1.50470253639556,4
"Dist_fond31","Fish72","Ref","Dist to bottom",-2.86477404724101,4
"Dist_berge31","Fish72","Ref","Dist to shore",0.286421012806084,4
"Prey_predicted32","Fish72","Ref","Large zooplankton",4.65702223377011,4
"NotPrey_predicted32","Fish72","Ref","Small zooplankton",-4.90638075468727,4
"ecart_632","Fish72","Ref","Dist to Iso6",-3.69044385449989,4
"Dist_fond32","Fish72","Ref","Dist to bottom",-1.56613599435434,4
"Dist_berge32","Fish72","Ref","Dist to shore",-0.532932856220033,4
"Prey_predicted33","Fish72","Ref","Large zooplankton",1.97615501021022,4
"NotPrey_predicted33","Fish72","Ref","Small zooplankton",-2.19203848750795,4
"ecart_633","Fish72","Ref","Dist to Iso6",-2.54222765626255,4
"Dist_fond33","Fish72","Ref","Dist to bottom",-1.88613108436355,4
"Dist_berge33","Fish72","Ref","Dist to shore",-0.24355332057306,4
"Prey_predicted34","Fish72","Ref","Large zooplankton",4.05267551347876,4
"NotPrey_predicted34","Fish72","Ref","Small zooplankton",-3.9894715231743,4
"ecart_634","Fish72","Ref","Dist to Iso6",-2.5154968766926,4
"Dist_fond34","Fish72","Ref","Dist to bottom",-3.78442552506305,4
"Dist_berge34","Fish72","Ref","Dist to shore",0.506230060499698,4
"Prey_predicted35","Fish72","Ref","Large zooplankton",3.4998718925697,4
"NotPrey_predicted35","Fish72","Ref","Small zooplankton",-3.60212874192903,4
"ecart_635","Fish72","Ref","Dist to Iso6",-1.54689536706934,4
"Dist_fond35","Fish72","Ref","Dist to bottom",-2.82849101602588,4
"Dist_berge35","Fish72","Ref","Dist to shore",-0.516976641610031,4
"Prey_predicted36","Fish72","Ref","Large zooplankton",0.83994394071151,4
"NotPrey_predicted36","Fish72","Ref","Small zooplankton",-1.06032695587232,4
"ecart_636","Fish72","Ref","Dist to Iso6",-1.86941226275736,4
"Dist_fond36","Fish72","Ref","Dist to bottom",-1.36678263722892,4
"Dist_berge36","Fish72","Ref","Dist to shore",-0.166036692619907,4
"Prey_predicted37","Fish72","Ref","Large zooplankton",2.60990452733898,4
"NotPrey_predicted37","Fish72","Ref","Small zooplankton",-2.53086964563266,4
"ecart_637","Fish72","Ref","Dist to Iso6",-1.60999394783774,4
"Dist_fond37","Fish72","Ref","Dist to bottom",-3.13579793076879,4
"Dist_berge37","Fish72","Ref","Dist to shore",0.260125702341628,4
"Prey_predicted38","Fish72","Ref","Large zooplankton",3.84888346544977,4
"NotPrey_predicted38","Fish72","Ref","Small zooplankton",-4.16099032147801,4
"ecart_638","Fish72","Ref","Dist to Iso6",-2.5679488684541,4
"Dist_fond38","Fish72","Ref","Dist to bottom",-2.41961802303593,4
"Dist_berge38","Fish72","Ref","Dist to shore",-0.0786235632300193,4
"Prey_predicted39","Fish72","Ref","Large zooplankton",5.81562394672594,4
"NotPrey_predicted39","Fish72","Ref","Small zooplankton",-5.59620717803721,4
"ecart_639","Fish72","Ref","Dist to Iso6",-2.86641738316869,4
"Dist_fond39","Fish72","Ref","Dist to bottom",-3.6415698881279,4
"Dist_berge39","Fish72","Ref","Dist to shore",0.543255886984036,4
"Prey_predicted40","Fish72","Ref","Large zooplankton",5.37055598938345,5
"NotPrey_predicted40","Fish72","Ref","Small zooplankton",-5.4151892558306,5
"ecart_640","Fish72","Ref","Dist to Iso6",-2.89866272636155,5
"Dist_fond40","Fish72","Ref","Dist to bottom",-3.06369001535643,5
"Dist_berge40","Fish72","Ref","Dist to shore",-0.0299352943569279,5
"Prey_predicted41","Fish72","Ref","Large zooplankton",4.69155880136013,5
"NotPrey_predicted41","Fish72","Ref","Small zooplankton",-4.83201226081299,5
"ecart_641","Fish72","Ref","Dist to Iso6",-2.62416571561975,5
"Dist_fond41","Fish72","Ref","Dist to bottom",-2.10513012960956,5
"Dist_berge41","Fish72","Ref","Dist to shore",-0.294689658531357,5
"Prey_predicted42","Fish72","Ref","Large zooplankton",1.20704410163709,5
"NotPrey_predicted42","Fish72","Ref","Small zooplankton",-1.46387364204853,5
"ecart_642","Fish72","Ref","Dist to Iso6",-1.98670977954686,5
"Dist_fond42","Fish72","Ref","Dist to bottom",-1.38495804596384,5
"Dist_berge42","Fish72","Ref","Dist to shore",-0.260154636178263,5
"Prey_predicted43","Fish72","Ref","Large zooplankton",2.4778056229125,5
"NotPrey_predicted43","Fish72","Ref","Small zooplankton",-2.56092081784862,5
"ecart_643","Fish72","Ref","Dist to Iso6",-2.35452176749745,5
"Dist_fond43","Fish72","Ref","Dist to bottom",-2.32682675044638,5
"Dist_berge43","Fish72","Ref","Dist to shore",0.0717186392821986,5
"Prey_predicted44","Fish72","Ref","Large zooplankton",2.24834303533347,5
"NotPrey_predicted44","Fish72","Ref","Small zooplankton",-2.57914146544693,5
"ecart_644","Fish72","Ref","Dist to Iso6",-1.92144233613923,5
"Dist_fond44","Fish72","Ref","Dist to bottom",-1.5575710456802,5
"Dist_berge44","Fish72","Ref","Dist to shore",-0.471224887271367,5
"Prey_predicted45","Fish72","Ref","Large zooplankton",3.60749958702072,5
"NotPrey_predicted45","Fish72","Ref","Small zooplankton",-3.66172319243636,5
"ecart_645","Fish72","Ref","Dist to Iso6",-3.58068922677646,5
"Dist_fond45","Fish72","Ref","Dist to bottom",-1.90848015805085,5
"Dist_berge45","Fish72","Ref","Dist to shore",-0.0977424311157891,5
"Prey_predicted46","Fish72","Ref","Large zooplankton",1.05565418426326,5
"NotPrey_predicted46","Fish72","Ref","Small zooplankton",-1.30784066824223,5
"ecart_646","Fish72","Ref","Dist to Iso6",-2.44097392905142,5
"Dist_fond46","Fish72","Ref","Dist to bottom",-1.65593407864117,5
"Dist_berge46","Fish72","Ref","Dist to shore",-0.198349806405235,5
"Prey_predicted47","Fish72","Ref","Large zooplankton",5.01526367755593,5
"NotPrey_predicted47","Fish72","Ref","Small zooplankton",-4.89926742629722,5
"ecart_647","Fish72","Ref","Dist to Iso6",-2.74813560765844,5
"Dist_fond47","Fish72","Ref","Dist to bottom",-4.01542770619013,5
"Dist_berge47","Fish72","Ref","Dist to shore",0.584319809913448,5
"Prey_predicted48","Fish72","Ref","Large zooplankton",3.5420035428274,5
"NotPrey_predicted48","Fish72","Ref","Small zooplankton",-3.7323213381603,5
"ecart_648","Fish72","Ref","Dist to Iso6",-1.89769149737093,5
"Dist_fond48","Fish72","Ref","Dist to bottom",-3.12525995125534,5
"Dist_berge48","Fish72","Ref","Dist to shore",0.46785115381791,5
"Prey_predicted49","Fish72","Ref","Large zooplankton",1.97822601484109,5
"NotPrey_predicted49","Fish72","Ref","Small zooplankton",-2.27041613386772,5
"ecart_649","Fish72","Ref","Dist to Iso6",-1.99123412616075,5
"Dist_fond49","Fish72","Ref","Dist to bottom",-1.43148755643533,5
"Dist_berge49","Fish72","Ref","Dist to shore",-0.267517251429377,5
"Prey_predicted50","Fish72","Ref","Large zooplankton",2.18275887835707,6
"NotPrey_predicted50","Fish72","Ref","Small zooplankton",-2.40408740207453,6
"ecart_650","Fish72","Ref","Dist to Iso6",-1.38403877112447,6
"Dist_fond50","Fish72","Ref","Dist to bottom",-1.77446907118751,6
"Dist_berge50","Fish72","Ref","Dist to shore",-0.334065899435746,6
"Prey_predicted51","Fish72","Ref","Large zooplankton",2.71463551922622,6
"NotPrey_predicted51","Fish72","Ref","Small zooplankton",-2.98485408719059,6
"ecart_651","Fish72","Ref","Dist to Iso6",-2.44029285892492,6
"Dist_fond51","Fish72","Ref","Dist to bottom",-2.11378540316508,6
"Dist_berge51","Fish72","Ref","Dist to shore",-0.0208181494280303,6
"Prey_predicted52","Fish72","Ref","Large zooplankton",2.82041115452347,6
"NotPrey_predicted52","Fish72","Ref","Small zooplankton",-3.00411185923588,6
"ecart_652","Fish72","Ref","Dist to Iso6",-3.0305515005504,6
"Dist_fond52","Fish72","Ref","Dist to bottom",-2.65803477200084,6
"Dist_berge52","Fish72","Ref","Dist to shore",0.0438849192095465,6
"Prey_predicted53","Fish72","Ref","Large zooplankton",3.81403818621764,6
"NotPrey_predicted53","Fish72","Ref","Small zooplankton",-4.09385748146657,6
"ecart_653","Fish72","Ref","Dist to Iso6",-3.1165383886611,6
"Dist_fond53","Fish72","Ref","Dist to bottom",-2.00286842127997,6
"Dist_berge53","Fish72","Ref","Dist to shore",-0.0189333589398376,6
"Prey_predicted54","Fish72","Ref","Large zooplankton",2.22689867393204,6
"NotPrey_predicted54","Fish72","Ref","Small zooplankton",-2.33311659898492,6
"ecart_654","Fish72","Ref","Dist to Iso6",-2.68058360270282,6
"Dist_fond54","Fish72","Ref","Dist to bottom",-1.84369493681549,6
"Dist_berge54","Fish72","Ref","Dist to shore",-0.289818249595474,6
"Prey_predicted55","Fish72","Ref","Large zooplankton",3.9169515484005,6
"NotPrey_predicted55","Fish72","Ref","Small zooplankton",-4.20625439584446,6
"ecart_655","Fish72","Ref","Dist to Iso6",-2.86405200258339,6
"Dist_fond55","Fish72","Ref","Dist to bottom",-2.21358575186971,6
"Dist_berge55","Fish72","Ref","Dist to shore",-0.172196031937478,6
"Prey_predicted56","Fish72","Ref","Large zooplankton",2.8002523819648,6
"NotPrey_predicted56","Fish72","Ref","Small zooplankton",-2.72384345254666,6
"ecart_656","Fish72","Ref","Dist to Iso6",-1.66364428142755,6
"Dist_fond56","Fish72","Ref","Dist to bottom",-2.91035807892943,6
"Dist_berge56","Fish72","Ref","Dist to shore",-0.18862949502853,6
"Prey_predicted57","Fish72","Ref","Large zooplankton",3.45802662035679,6
"NotPrey_predicted57","Fish72","Ref","Small zooplankton",-3.64347313592055,6
"ecart_657","Fish72","Ref","Dist to Iso6",-2.75182815315564,6
"Dist_fond57","Fish72","Ref","Dist to bottom",-1.9551666096351,6
"Dist_berge57","Fish72","Ref","Dist to shore",-0.143987520599996,6
"Prey_predicted58","Fish72","Ref","Large zooplankton",2.92331932005271,6
"NotPrey_predicted58","Fish72","Ref","Small zooplankton",-3.10337966006701,6
"ecart_658","Fish72","Ref","Dist to Iso6",-2.03611417819432,6
"Dist_fond58","Fish72","Ref","Dist to bottom",-2.35653991991798,6
"Dist_berge58","Fish72","Ref","Dist to shore",0.0661907241451941,6
"Prey_predicted59","Fish72","Ref","Large zooplankton",3.00413535608162,6
"NotPrey_predicted59","Fish72","Ref","Small zooplankton",-3.13361806480635,6
"ecart_659","Fish72","Ref","Dist to Iso6",-2.02440867208526,6
"Dist_fond59","Fish72","Ref","Dist to bottom",-2.5558439497393,6
"Dist_berge59","Fish72","Ref","Dist to shore",0.169199991074937,6
"Prey_predicted60","Fish72","Ref","Large zooplankton",2.41290057452815,7
"NotPrey_predicted60","Fish72","Ref","Small zooplankton",-2.7029731256772,7
"ecart_660","Fish72","Ref","Dist to Iso6",-2.38763566606094,7
"Dist_fond60","Fish72","Ref","Dist to bottom",-1.30612315686078,7
"Dist_berge60","Fish72","Ref","Dist to shore",-0.126703172703379,7
"Prey_predicted61","Fish72","Ref","Large zooplankton",3.7422544799883,7
"NotPrey_predicted61","Fish72","Ref","Small zooplankton",-3.77360486958105,7
"ecart_661","Fish72","Ref","Dist to Iso6",-1.73590428644074,7
"Dist_fond61","Fish72","Ref","Dist to bottom",-2.25884490448466,7
"Dist_berge61","Fish72","Ref","Dist to shore",-0.570503104607188,7
"Prey_predicted62","Fish72","Ref","Large zooplankton",4.08652571641109,7
"NotPrey_predicted62","Fish72","Ref","Small zooplankton",-4.09740758838308,7
"ecart_662","Fish72","Ref","Dist to Iso6",-3.26194442798382,7
"Dist_fond62","Fish72","Ref","Dist to bottom",-2.15695223060677,7
"Dist_berge62","Fish72","Ref","Dist to shore",-0.00783684230066825,7
"Prey_predicted63","Fish72","Ref","Large zooplankton",2.60967131655076,7
"NotPrey_predicted63","Fish72","Ref","Small zooplankton",-2.76585311241745,7
"ecart_663","Fish72","Ref","Dist to Iso6",-2.70154587743819,7
"Dist_fond63","Fish72","Ref","Dist to bottom",-2.59513303114029,7
"Dist_berge63","Fish72","Ref","Dist to shore",0.112376315087301,7
"Prey_predicted64","Fish72","Ref","Large zooplankton",2.7405772807875,7
"NotPrey_predicted64","Fish72","Ref","Small zooplankton",-2.94597425529987,7
"ecart_664","Fish72","Ref","Dist to Iso6",-2.5467460110982,7
"Dist_fond64","Fish72","Ref","Dist to bottom",-2.10003130352722,7
"Dist_berge64","Fish72","Ref","Dist to shore",-0.428547927988394,7
"Prey_predicted65","Fish72","Ref","Large zooplankton",2.29064078881813,7
"NotPrey_predicted65","Fish72","Ref","Small zooplankton",-2.49858421857585,7
"ecart_665","Fish72","Ref","Dist to Iso6",-2.88189792009287,7
"Dist_fond65","Fish72","Ref","Dist to bottom",-1.56126621744707,7
"Dist_berge65","Fish72","Ref","Dist to shore",-0.098565138471886,7
"Prey_predicted66","Fish72","Ref","Large zooplankton",2.61298908383675,7
"NotPrey_predicted66","Fish72","Ref","Small zooplankton",-2.76083030122516,7
"ecart_666","Fish72","Ref","Dist to Iso6",-1.39870767939464,7
"Dist_fond66","Fish72","Ref","Dist to bottom",-2.67100048477621,7
"Dist_berge66","Fish72","Ref","Dist to shore",0.313755503916658,7
"Prey_predicted67","Fish72","Ref","Large zooplankton",3.81069239463701,7
"NotPrey_predicted67","Fish72","Ref","Small zooplankton",-4.20836218697247,7
"ecart_667","Fish72","Ref","Dist to Iso6",-3.47249420329093,7
"Dist_fond67","Fish72","Ref","Dist to bottom",-1.46159789949541,7
"Dist_berge67","Fish72","Ref","Dist to shore",-0.670341912457069,7
"Prey_predicted68","Fish72","Ref","Large zooplankton",3.41995497523669,7
"NotPrey_predicted68","Fish72","Ref","Small zooplankton",-3.73355654468093,7
"ecart_668","Fish72","Ref","Dist to Iso6",-2.41832446787125,7
"Dist_fond68","Fish72","Ref","Dist to bottom",-1.40270429475871,7
"Dist_berge68","Fish72","Ref","Dist to shore",0.00320031473656383,7
"Prey_predicted69","Fish72","Ref","Large zooplankton",3.12899919725134,7
"NotPrey_predicted69","Fish72","Ref","Small zooplankton",-3.37988895111391,7
"ecart_669","Fish72","Ref","Dist to Iso6",-2.80360239618962,7
"Dist_fond69","Fish72","Ref","Dist to bottom",-2.64778114070095,7
"Dist_berge69","Fish72","Ref","Dist to shore",0.15353956015948,7
"Prey_predicted70","Fish72","Ref","Large zooplankton",2.50989291475715,8
"NotPrey_predicted70","Fish72","Ref","Small zooplankton",-2.4241044499975,8
"ecart_670","Fish72","Ref","Dist to Iso6",-2.01468137264083,8
"Dist_fond70","Fish72","Ref","Dist to bottom",-3.04540063529359,8
"Dist_berge70","Fish72","Ref","Dist to shore",0.161062700652007,8
"Prey_predicted71","Fish72","Ref","Large zooplankton",3.45889304694968,8
"NotPrey_predicted71","Fish72","Ref","Small zooplankton",-3.40635225678528,8
"ecart_671","Fish72","Ref","Dist to Iso6",-2.72239338772487,8
"Dist_fond71","Fish72","Ref","Dist to bottom",-3.13767545708011,8
"Dist_berge71","Fish72","Ref","Dist to shore",-0.106714913725169,8
"Prey_predicted72","Fish72","Ref","Large zooplankton",3.74782553807285,8
"NotPrey_predicted72","Fish72","Ref","Small zooplankton",-3.80724479291637,8
"ecart_672","Fish72","Ref","Dist to Iso6",-2.08752819025458,8
"Dist_fond72","Fish72","Ref","Dist to bottom",-2.41715210769369,8
"Dist_berge72","Fish72","Ref","Dist to shore",-0.102897953910963,8
"Prey_predicted73","Fish72","Ref","Large zooplankton",3.96233413592243,8
"NotPrey_predicted73","Fish72","Ref","Small zooplankton",-4.0761949221805,8
"ecart_673","Fish72","Ref","Dist to Iso6",-2.3822594147759,8
"Dist_fond73","Fish72","Ref","Dist to bottom",-2.8548997179487,8
"Dist_berge73","Fish72","Ref","Dist to shore",-0.133922325545461,8
"Prey_predicted74","Fish72","Ref","Large zooplankton",2.19049676682304,8
"NotPrey_predicted74","Fish72","Ref","Small zooplankton",-2.3364516472714,8
"ecart_674","Fish72","Ref","Dist to Iso6",-1.69377201257993,8
"Dist_fond74","Fish72","Ref","Dist to bottom",-2.53490143853936,8
"Dist_berge74","Fish72","Ref","Dist to shore",0.0348029129116377,8
"Prey_predicted75","Fish72","Ref","Large zooplankton",3.28067096270768,8
